,CustomerID,Cluster,Metric,Value
0,12747,0,Recency,-0.9258958645789481
1,12748,0,Recency,-0.9470747790521569
2,12749,0,Recency,-0.9153064073423438
3,12820,0,Recency,-0.9153064073423438
4,12822,2,Recency,-0.20581277248985283
5,12823,1,Recency,2.187404562982729
6,12824,2,Recency,-0.3222968020925006
7,12826,0,Recency,-0.9258958645789481
8,12827,1,Recency,-0.6082121474808179
9,12828,0,Recency,-0.8729485783959264
10,12829,1,Recency,2.6109828524469023
11,12830,2,Recency,0.016565829478838365
12,12832,2,Recency,-0.6082121474808179
13,12833,1,Recency,0.5883965202554728
14,12834,2,Recency,2.039152161670268
15,12836,0,Recency,-0.3222968020925006
16,12837,1,Recency,0.8849013228803945
17,12838,2,Recency,-0.5976226902442136
18,12839,0,Recency,-0.9258958645789481
19,12840,2,Recency,0.5672176057822642
20,12841,0,Recency,-0.9047169501057395
21,12842,2,Recency,-0.20581277248985283
22,12843,2,Recency,0.7366489215679337
23,12844,2,Recency,-0.6399805191906309
24,12845,2,Recency,1.890899760357807
25,12847,2,Recency,-0.7141067198468614
26,12849,2,Recency,-0.6188016047174222
27,12851,2,Recency,0.06951311566186008
28,12852,1,Recency,2.16622564850952
29,12853,2,Recency,0.47191249065282515
30,12854,2,Recency,-0.1210971145970181
31,12856,0,Recency,-0.8729485783959264
32,12857,2,Recency,1.2767112406347552
33,12863,1,Recency,-0.39642300274873105
34,12864,1,Recency,0.5142703195992425
35,12867,0,Recency,-0.671748890900444
36,12868,2,Recency,1.0119748097196466
37,12871,1,Recency,-0.05756037117739204
38,12872,1,Recency,2.505088280080859
39,12873,1,Recency,2.039152161670268
40,12877,0,Recency,-0.9153064073423438
41,12878,2,Recency,1.552037128786468
42,12879,1,Recency,0.016565829478838365
43,12883,2,Recency,-0.6929278053736526
44,12884,1,Recency,-0.015202542230974664
45,12885,2,Recency,-0.27993897314608324
46,12886,2,Recency,-0.23758114419966586
47,12890,2,Recency,-0.6929278053736526
48,12893,1,Recency,-0.6293910619540266
49,12895,2,Recency,-0.5023175751147745
50,12901,0,Recency,-0.8411802066861135
51,12902,1,Recency,1.8485419314113898
52,12904,2,Recency,-0.7564645487932787
53,12906,0,Recency,-0.8305907494495091
54,12909,2,Recency,-0.025791999467579006
55,12910,2,Recency,-0.2693495159094789
56,12912,2,Recency,-0.8623591211593221
57,12913,0,Recency,-0.9047169501057395
58,12915,1,Recency,0.6201648919652859
59,12916,2,Recency,0.5142703195992425
60,12919,2,Recency,-0.8623591211593221
61,12920,1,Recency,-0.767054006029883
62,12921,0,Recency,-0.8517696639227178
63,12922,1,Recency,0.7578278360411423
64,12923,2,Recency,-0.2693495159094789
65,12924,2,Recency,-0.015202542230974664
66,12925,0,Recency,-0.9047169501057395
67,12928,2,Recency,-0.5764437757710048
68,12929,1,Recency,2.3462464215317937
69,12930,2,Recency,-0.1210971145970181
70,12931,0,Recency,-0.7246961770834657
71,12933,2,Recency,-0.6929278053736526
72,12935,0,Recency,-0.9258958645789481
73,12936,2,Recency,-0.767054006029883
74,12937,0,Recency,-0.7882329205030917
75,12939,2,Recency,-0.2693495159094789
76,12940,2,Recency,-0.37524408827552236
77,12942,2,Recency,0.4401441189430121
78,12944,2,Recency,-0.5764437757710048
79,12945,1,Recency,2.102688905089894
80,12947,2,Recency,0.5672176057822642
81,12948,2,Recency,-0.48113866064156574
82,12949,0,Recency,-0.6293910619540266
83,12950,0,Recency,-0.9258958645789481
84,12951,2,Recency,-0.8623591211593221
85,12952,0,Recency,-0.8941274928691352
86,12953,2,Recency,-0.8517696639227178
87,12955,0,Recency,-0.9364853218155526
88,12956,1,Recency,2.293299135348772
89,12957,0,Recency,-0.8517696639227178
90,12962,2,Recency,-0.8729485783959264
91,12963,0,Recency,-0.8623591211593221
92,12965,2,Recency,-0.00461308499437032
93,12966,2,Recency,-0.8517696639227178
94,12968,1,Recency,0.23894443144752958
95,12970,0,Recency,-0.8729485783959264
96,12971,0,Recency,-0.7882329205030917
97,12974,1,Recency,1.1390482965588988
98,12976,2,Recency,1.2873006978713595
